Job Title,Company,Location,Salary,Posting Date,Extract Date,Summary,Job Url
,Tapsoft Technologies,"Pune, Maharashtra",,,13-03-2022,"['Extensive experience with data visualization.', 'Excellent communicator with the ability to translate data into actionable insights.']",https://in.indeed.com/company/Tapsoft-Technologies/jobs/Business-Analyst-Intern-d34e29f2ad517daa?fccid=48420a2d6b9510b6&vjs=3
Frontend Engineering Internship (6 months),Atlan,India,,,13-03-2022,"['Atlan makes it easier for diverse data users – business users, product managers, analysts, and engineers – to collaborate effectively.']",https://in.indeed.com/rc/clk?jk=584a491adfb0c5f0&fccid=5780b449d988d84f&vjs=3
INTERN – DATA ANALYST,Perceptive Analytics,"Remote in Hyderabad, Telangana",,,13-03-2022,"['If you do a great job, this internship can also lead to a pre placement / full time offer.', 'This internship will help you gain in-depth knowledge in Analytics…']",https://in.indeed.com/rc/clk?jk=0feab75badae0323&fccid=210726a08f3619d6&vjs=3
Intern Diversity,Deutsche Bank,"Mumbai, Maharashtra",,,13-03-2022,"['Opportunity to apply data science techniques to improve current tools used for risk analysis.', 'Opportunity to apply data science techniques to improve current…']",https://in.indeed.com/rc/clk?jk=9cfa20b9a5c7d4e9&fccid=f1d8e147024abb3f&vjs=3
IFS-Operate - AMS WPP - Testing and Data Analytics - Associate - Kolkata,PwC,"Kolkata, West Bengal",,,13-03-2022,"['Handle, manipulate and analyse data and information responsibly.', '(this could have come from work experience eg. internships, placement years etc).']",https://in.indeed.com/rc/clk?jk=1706aac8a177acaa&fccid=5e964c4afc56b180&vjs=3
Market Research Intern,POD,"Bengaluru, Karnataka","₹3,000 - ₹5,000 a month",,13-03-2022,"['*B.Com or BBA graduates or Candidates with market research/Data analyst internship experience are preferred.', 'Job Types: Full-time, Internship.']",https://in.indeed.com/company/crowdpouch/jobs/Market-Research-Intern-1d41494961f626a3?fccid=557ba9656f9b3e77&vjs=3
Data Analyst /Machine Learning/Python & Django Online Trainers,S.F.T,"Temporarily Remote in Kottayam, Kerala","₹10,000 a month",,13-03-2022,"['Candidates with good working knowledge in Big-data Analytics & Machine learning python & Django can apply.', 'Job Types: Full-time, Freelance, Internship, Fresher.']",https://in.indeed.com/company/S.F.T/jobs/Data-Analyst-7c4e4a6a742536fc?fccid=bb2951558623d792&vjs=3
Finance Analyst,ApplyBoard,"Remote in Gurgaon, Haryana",,,13-03-2022,"['3-5 years of prior work experience (e.g. as analyst in a strategy consulting firm or investment bank; financial analyst in a dynamic industry, internship…']",https://in.indeed.com/rc/clk?jk=034c3aaf19b56ec5&fccid=132cf1d64633e77d&vjs=3
Cost Accounting - Intern,Dupont,"Hyderabad, Telangana",,,13-03-2022,"['Audit Support in data collation.', 'Ensure timely & qualitative performance of month-end and during the month activities related to Inventory & Cost Accounting and…']",https://in.indeed.com/rc/clk?jk=364e7f28ac60a271&fccid=76bce720eab9a7b0&vjs=3
Analyst – Survey Analytics,Boston Consulting Group,"New Delhi, Delhi",,,13-03-2022,"['Master’s degree with demonstrated high academic achievement in analytics, data science, or mathematics and relevant work experience in market/consumer research…']",https://in.indeed.com/rc/clk?jk=5b65b5175724e20a&fccid=b95f9eb47968fa13&vjs=3
NCT - Intern,Deutsche Bank,"Remote in Pune, Maharashtra",,,13-03-2022,"['Escalate issues coming out of the process and key controls that may impact the validity of reported data.', 'Responsible for Financial data transfer from local…']",https://in.indeed.com/rc/clk?jk=58e7feca25345992&fccid=f1d8e147024abb3f&vjs=3
Data Science Intern,Ganit,"Chennai, Tamil Nadu",,,13-03-2022,"['Conducting complex data analysis to ensure data quality & reliability, i.e., make the data talk by extracting, preparing, and transforming it.']",https://in.indeed.com/rc/clk?jk=82f861522dbe7d73&fccid=a84170b5a8a8d5cc&vjs=3
Data Analyst - 1,Chegg,"Jasola, Delhi, Delhi",,,13-03-2022,"['1 -2 years of experience as data analyst.', 'Responsible to carve out data for work allocation at times.', 'Good in SQL, Ability to write good SQL queries for data…']",https://in.indeed.com/rc/clk?jk=95c34e3c6e18c224&fccid=a5cbd2514edf7804&vjs=3
Content Developer Internship,Crypto Mize,"Delhi, Delhi",,,13-03-2022,"['Apply for Content Developer Training in Delhi at CryptoMize.', 'Content Strategist Internship in Delhi at CryptoMize - Check Out Content Specialist Internship for…']",https://in.indeed.com/rc/clk?jk=249e3589613e94e4&fccid=bdad58a8df3ba8a4&vjs=3
Reverse Engineer Internship,Crypto Mize,"Delhi, Delhi",,,13-03-2022,"['Collaborate with a team of experienced malware analysts and researchers.', 'Develop novel solutions to challenges facing incident responders and malware analysts.']",https://in.indeed.com/rc/clk?jk=d9c123de73da8944&fccid=bdad58a8df3ba8a4&vjs=3
Product Enablement Internship (6 months),Atlan,India,,,13-03-2022,"['Atlan makes it easier for diverse data users – business users, product managers, analysts, and engineers – to collaborate effectively.']",https://in.indeed.com/rc/clk?jk=d061575ff8ecf7e9&fccid=5780b449d988d84f&vjs=3
,Palo Alto Networks,"Bengaluru, Karnataka",,,13-03-2022,"['Experience working with sales teams and drawing insights from sales data.', 'Practical experience working in high-growth companies gained through internships or…']",https://in.indeed.com/rc/clk?jk=3bd56433a6beda14&fccid=0562f887e2bed9ea&vjs=3
Market Research Analyst Internship,Crypto Mize,"Delhi, Delhi",,,13-03-2022,"['Analyse data using statistical software.', 'Analytical aptitude and data oriented approach.', 'Research competitors and compile data for benchmarking.']",https://in.indeed.com/rc/clk?jk=d7796a03f89bebfa&fccid=bdad58a8df3ba8a4&vjs=3
Support Engineer,Atlan,India,,,13-03-2022,"['Atlan makes it easier for diverse data users – business users, product managers, analysts, and engineers – to collaborate effectively.']",https://in.indeed.com/rc/clk?jk=c45913e6079ff621&fccid=5780b449d988d84f&vjs=3
"Intern- Business & Marketing Analyst, India",MiQ Digital,"Mumbai, Maharashtra",,,13-03-2022,"['Understand commercial strategy for an cutting edge data led programmatic business.', 'Delve deep into our data partnership capabilities to differentiate MiQ in the…']",https://in.indeed.com/rc/clk?jk=e3439a09f4cf7a01&fccid=19393daddd5b324a&vjs=3
Product Analyst,Cloud LIMS,"Temporarily Remote in Indore, Madhya Pradesh",,,13-03-2022,"['Gather data on user reactions after launch by monitoring and reporting.', 'We build a digital tool called Laboratory Information Management Systems (LIMS) that…']",https://in.indeed.com/rc/clk?jk=68028996491c3d0a&fccid=e3ac58254ba534f8&vjs=3
Associate,BDO India,"Goregaon, Mumbai, Maharashtra",,,13-03-2022,"['Any technology knowledge around process automation, data analytics is a big plus.', 'Leveraging our deep industry knowledge and extensive experience, our industry…']",https://in.indeed.com/rc/clk?jk=9b47ac26ac079e10&fccid=8dddbcbdce3f1bce&vjs=3
Data Scientist Intern,PAGO Analytics,"Hyderabad, Telangana",,,13-03-2022,['Identify new internal and external data sources to support analytics initiatives and work with appropriate partners to absorb the data into new or existing data…'],https://in.indeed.com/rc/clk?jk=373aa07ae39a9cfc&fccid=32e7714bda65ceaf&vjs=3
Junior Operations Analyst,Valtitude,"Pune, Maharashtra",,,13-03-2022,"['A Junior Operations Analyst will be responsible for data analysis, supply chain modeling, and reporting.', 'This position would be ideal for new graduates with an…']",https://in.indeed.com/rc/clk?jk=b59295d9723e20ab&fccid=335582e72b4b1c35&vjs=3
Business Intelligence Engineer - I,Chegg,"Jasola, Delhi, Delhi",,,13-03-2022,"['Able to identify incomplete data, improve data quality and integrate data from multiple sources.', 'The Business Intelligence team is central to Chegg’s data…']",https://in.indeed.com/rc/clk?jk=a6cb12a3a684ac2c&fccid=a5cbd2514edf7804&vjs=3
Programmer Analyst,ADCI - Karnataka,"Bengaluru, Karnataka",,,13-03-2022,"['Knowledge of algorithms and data structures.', 'Previous technical internship(s) preferred.', 'Proven educational track record with sound data structure and algorithm…']",https://in.indeed.com/rc/clk?jk=6537c11938e14340&fccid=fe2d21eef233e94a&vjs=3
"Data Engineer II, TFS",ADCI HYD 13 SEZ,"Hyderabad, Telangana",,,13-03-2022,"['Experience with data modeling, data warehousing, and building ETL pipelines.', 'Previous technical internship(s) preferred.']",https://in.indeed.com/rc/clk?jk=8e01f62c4785e310&fccid=fe2d21eef233e94a&vjs=3
"Analyst, Foundations",Sattva,"Bengaluru, Karnataka",,,13-03-2022,"['Prior experience in data (basic data analysis) and presentations.', 'Perform initial shortlisting of relevant data sources and assess quality of relevant data.']",https://in.indeed.com/rc/clk?jk=ec24c8a3e6d451fb&fccid=6dbc2d7ff3d50879&vjs=3
Data Analyst - Advanced Analytics,Perceptive Analytics,"Hyderabad, Telangana",,,13-03-2022,"['Expertise and strong experience in data gathering and analysis.', 'Hands on expertise in Data modelling, Data migration & Data consolidation tools through working…']",https://in.indeed.com/rc/clk?jk=3bc06c8b401b1111&fccid=210726a08f3619d6&vjs=3
SEO Analyst,CloudMellow Technologies-LLP,"Eluru, Andhra Pradesh","₹10,000 - ₹23,000 a month",,13-03-2022,"[""Bachelor's degree, relevant courses, and/or internships preferred."", 'Critical-thinking skills and the ability to identify interesting trends in data to develop…']",https://in.indeed.com/company/CloudMellow-Technologies--LLP/jobs/SEO-Analyst-188875c70d324d2c?fccid=c802f6985e02b068&vjs=3
